STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2020-Q1,,2374405600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2019-Q4,,2501900000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2019-Q3,,2514850000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2019-Q2,,2514102000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2019-Q1,,2499322400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2018-Q4,,2478496000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2018-Q3,,2458977600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2018-Q2,,2446893200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2018-Q1,,2441879600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2017-Q4,,2443787600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
